Device:,Cedar Mini USB Joystick,,,,,,,,,,,,
Version:, V1.0,,,,,,,,,,,,
Last Updated:,2025-09-15,,,,,,,,,,,,
,,,,,,,,Total filament (g),,Unit Cost,Total Estimated Cost,Build Cost,
,,,,,,,,42.3,, $42.79 , $62.58 ,,
ID,Commercial Parts,,,,,,,,, $41.73 , $61.52 ,,
,Part,Description,,Manufacturer,Supplier,QTY / Device,QTY / PKG,PKGs,$/ PKG,$ / Device,Total Estimated Cost,,Link
,Joystick (PS2),Electrical,,Wishiot,Amazon,1,10,1,21.99, $2.20 , $21.99 ,,https://www.amazon.ca/dp/B089VXPHDH?_encoding=UTF8&psc=1&ref_=cm_sw_r_cp_ud_dp_GGTEDME4PM2P27SG86P7 
,"USB-C cable, 6 ft (can buy this locally)",Electrical,,Cvilux USA,DigiKey,1,1,1,3.43, $3.43 , $3.43 ,,https://www.digikey.ca/en/products/detail/cvilux-usa/DH-20M50053/13177348 
,Adafruit QT Py SAMD21,Electrical,,Adafruit Industries LLC,DigiKey,1,1,1,10.93, $10.93 , $10.93 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4600/13543375 
,"3.5 mm mono jack, panel mount",Electrical,,Same Sky,DigiKey,3,1,3,2.19, $6.57 , $6.57 ,,https://www.digikey.ca/en/products/detail/cui-devices/MJ-3502/281321 
,"Slide switch, right angle",Electrical,,C&K,DigiKey,1,1,1,0.95, $0.95 , $0.95 ,,https://www.digikey.ca/en/products/detail/c-k/OS102011MA1QS1/1981431 
,"Right angle female header, 5 position",Electrical,,Sullins Connector Solutions,DigiKey,1,1,1,0.76, $0.76 , $0.76 ,,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PPTC051LGBN-RC/775899 
,"Female header, 7 position, single row, 0.100""",Electrical,,Sullins Connector Solutions,DigiKey,2,1,2,0.68, $1.36 , $1.36 ,,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PPTC071LFBN-RC/810146 
,"Sheet Metal Screw, #4, 3/8″ Length (if building more than one, link below)",Mechanical,,Serpac,DigiKey,8,1,8,0.61, $4.88 , $4.88 ,,https://www.digikey.ca/en/products/detail/serpac/6005/307599 
,"Wire, 24 AWG, solid core, 1 foot, white",Electrical,,CNC Tech,DigiKey,1,1,1,0.73, $0.73 , $0.73 ,,https://www.digikey.ca/en/products/detail/cnc-tech/1007-24-1-2000-002-1-TD/17799208 
,"Wire, 24 AWG, solid core, 1 foot, black",Electrical,,CNC Tech,DigiKey,1,1,1,0.73, $0.73 , $0.73 ,,https://www.digikey.ca/en/products/detail/cnc-tech/1007-24-1-2000-001-1-TD/17799235 
,"Wire, 24 AWG, solid core, 1 foot, green",Electrical,,CNC Tech,DigiKey,1,1,1,0.73, $0.73 , $0.73 ,,https://www.digikey.ca/en/products/detail/cnc-tech/1007-24-1-2000-007-1-TD/17799170 
,"Cable Tie, 4 in.",Mechanical,,TE Connectivity AMP Connectors,DigiKey,1,1,1,0.16, $0.16 , $0.16 ,,https://www.digikey.ca/en/products/detail/te-connectivity/2-604771-9/2259327 
,"Hex Nut, M3",Mechanical,,Keystone Electronics,DigiKey,2,1,2,0.15, $0.30 , $0.30 ,,https://www.digikey.ca/en/products/detail/keystone-electronics/4708/4499301 
